,home_team_name,away_team_name,home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_corner_count,away_team_corner_count,home_team_red_cards,away_team_red_cards,home_team_shots_on_target,away_team_shots_on_target,home_team_fouls,away_team_fouls,Result
0,Al Fateh,Al Taawon,1.69,1.31,1,1,2,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,0
1,Al Nassr,Najran,2.62,0.62,2,0,2,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,2
2,Al Nahdha,Al Shoalah,1.0,1.08,2,2,4,2,1,1,1,-1,-1,0,0,-1,-1,-1,-1,0
3,Al Hilal,Al Orubah,2.54,1.23,3,0,3,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,3
4,Al Raed,Al Ittifaq,1.23,0.77,2,1,3,2,2,2,0,-1,-1,0,0,-1,-1,-1,-1,1
5,Al Faisaly,Al Ahli,1.62,1.62,1,3,4,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,-2
6,Al Shabab,Al Ittihad,1.85,0.92,1,4,5,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,-3
7,Al Ittifaq,Al Hilal,1.23,2.31,1,3,4,3,1,1,2,-1,-1,0,0,-1,-1,-1,-1,-2
8,Al Fateh,Al Nahdha,1.69,0.23,4,0,4,2,2,2,0,-1,-1,0,0,-1,-1,-1,-1,4
9,Al Taawon,Al Faisaly,1.38,0.85,1,1,2,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,0
10,Najran,Al Raed,1.54,1.0,1,0,1,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,1
11,Al Shoalah,Al Shabab,0.92,1.0,0,1,1,1,0,0,1,-1,-1,0,1,-1,-1,-1,-1,-1
12,Al Ahli,Al Nassr,1.85,2.38,0,0,0,0,0,0,0,8,3,0,0,4,3,15,14,0
13,Al Orubah,Al Ittihad,1.0,0.92,1,0,1,0,0,0,0,-1,-1,0,1,-1,-1,-1,-1,1
14,Al Ahli,Al Orubah,1.85,1.23,1,1,2,2,1,1,1,14,2,0,0,6,3,10,12,0
15,Al Shabab,Al Raed,1.85,1.0,5,2,7,3,3,3,0,6,1,0,0,8,5,12,18,3
16,Al Ittihad,Al Fateh,1.54,0.46,4,2,6,4,2,2,2,3,9,0,0,3,4,20,14,2
17,Al Ittifaq,Al Shoalah,1.23,1.08,1,0,1,0,0,0,0,5,8,0,0,6,6,14,14,1
18,Najran,Al Taawon,1.54,1.31,1,2,3,1,0,0,1,4,3,0,0,5,0,20,21,-1
