timestamp,date_GMT,status,attendance,home_team_name,away_team_name,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1535643600,Aug 30 2018 - 3:40pm,complete,N/A,Al Ittifaq,Al Raed,0,0,1.75,1.25,1,1,2,1,1,0,4,89,4,11,4,0,1,0,6,9,3,4,3,5,-1,-1,44,56,0,0,0,0,0,0,0,0,0,0,2,3.55,3.15,1.16,1.54,2.35,4.1,1.54,2.4,Prince Mohamed bin Fahd Stadium (Ad Dammām (Dammam))
1535645100,Aug 30 2018 - 4:05pm,complete,N/A,Al Hazm,Al Wahda,0,0,1.18,1.42,0,0,0,0,0,0,,,-1,-1,2,0,0,0,-2,-2,-1,-1,-1,-1,-1,-1,47,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prince Abdullah bin Abdul Aziz Stadium (King Abdullah Sport City Stadium) (Buraydah (Buraidah))
1535645700,Aug 30 2018 - 4:15pm,complete,N/A,Ohod,Al Nassr,0,0,0.92,2.15,1,2,3,2,1,1,14,"12,90'6",-1,-1,2,0,3,0,-2,-2,-1,-1,-1,-1,-1,-1,49,51,0,0,0,0,0,0,0,0,0,0,6.95,4.55,1.35,1.16,1.56,2.4,4.15,1.83,1.91,Prince Mohammed bin Abdul Aziz Stadium (Medina)
1535730000,Aug 31 2018 - 3:40pm,complete,N/A,Al Quadisiya,Al Fateh,0,0,1.17,1.1,0,0,0,0,0,0,,,12,4,0,0,0,0,7,12,3,8,4,4,-1,-1,50,50,0,0,0,0,0,0,0,0,0,0,2.6,3.2,2.5,1.24,1.8,3,5.45,1.71,2.1,Prince Abdullah bin Jalawi Sports City Stadium (Al-Hasa)
1535730900,Aug 31 2018 - 3:55pm,complete,N/A,Al Hilal,Al Feiha,0,0,2.25,0.54,1,0,1,0,0,0,77,,8,3,3,1,3,2,15,7,4,2,11,5,-1,-1,58,42,0,0,0,0,0,0,0,0,0,0,1.23,5.55,9.75,1.13,1.49,2.25,3.8,1.95,1.8,King Saud University Stadium (Ar-Riyāḍ (Riyadh))
1535730900,Aug 31 2018 - 3:55pm,complete,N/A,Al Shabab,Al Ittihad,0,0,2,1.17,1,0,1,0,0,0,79,,4,3,0,0,0,0,6,7,6,6,0,1,-1,-1,51,49,0,0,0,0,0,0,0,0,0,0,3.85,3.55,1.8,1.21,1.69,2.75,5,1.71,2.1,Prince Faisal bin Fahd Stadium (Ar-Riyāḍ (Riyadh))
1535731200,Aug 31 2018 - 4:00pm,complete,N/A,Al Faisaly,Al Batin,0,0,1.83,0.64,2,2,4,2,2,0,"29,41","56,90'5",7,4,1,0,2,0,12,6,8,3,4,3,-1,-1,60,40,0,0,0,0,0,0,0,0,0,0,2.05,3.3,3.25,1.25,1.83,3.1,5.65,1.77,2.05,King Salman bin Abdulaziz Sport City Stadium (Al Majma'ah)
1535818800,Sep 1 2018 - 4:20pm,complete,N/A,Al Ahli,Al Taawon,0,0,1.64,1.5,1,1,2,1,0,1,49,24,10,3,2,0,3,0,16,7,9,5,7,2,-1,-1,60,40,0,0,0,0,0,0,0,0,0,0,1.48,4.3,5.3,1.12,1.44,2.15,3.6,1.61,2.25,King Abdullah Sports City (Jeddah)
1536852300,Sep 13 2018 - 3:25pm,complete,N/A,Al Ittifaq,Al Batin,1,1,1.75,0.64,3,2,5,1,1,0,"44,68,81","74,90'4",2,11,3,0,1,0,9,10,5,7,4,3,11,14,45,55,3,100,100,50,50,0,50,100,8,6,0,0,0,0,0,0,0,0,0,Prince Mohamed bin Fahd Stadium (Ad Dammām (Dammam))
1536852600,Sep 13 2018 - 3:30pm,complete,N/A,Al Fateh,Al Wahda,0,1,1.57,1.42,0,0,0,0,0,0,,,6,5,2,0,3,0,14,18,4,5,10,13,13,10,39,61,0,0,0,0,0,0,0,0,-1,0,2.65,3.3,2.4,1.22,1.71,2.85,5.15,1.67,2.15,Prince Abdullah bin Jalawi Sports City Stadium (Al-Hasa)
