full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Abdullah Hussain Al Oaisher,27,Professional League,2013/2014,Goalkeeper,Al Fateh,1350,630,720,Saudi Arabia,15,7,8,0,0,0,0,0,0,0,0,3,3,0,22,8,14,0,0,0,0,0,0,0,0,1.47,61,90,0,0,0,285,1,86,12
Mohammad Saleh Al Nakhli,34,Professional League,2013/2014,Defender,Al Fateh,508,180,328,Saudi Arabia,6,2,4,0,0,0,0,0,0,0,0,0,0,0,9,4,5,0,0,0,0,0,0,0,0,1.59,56,85,0,0,0,212,144,94,14
Mishal Al Saeed,35,Professional League,2013/2014,Defender,Al Fateh,1702,990,712,Saudi Arabia,19,11,8,0,0,0,0,0,0,0,0,4,4,0,25,11,14,7,1,0,0,0,0,0,0,1.32,68,90,243,0,0.37,189,194,65,19
Bader Al Nakhli,30,Professional League,2013/2014,Defender,Al Fateh,2160,1080,1080,Saudi Arabia,24,12,12,1,1,0,0,0,0,0,0,4,4,0,33,11,22,6,0,0.04,0,0.04,0.08,0,2160,1.38,65,90,360,0,0.25,150,193,73,6
Élton José Xavier Gomes,32,Professional League,2013/2014,Midfielder,Al Fateh,1960,980,980,Brazil,24,11,11,9,5,4,0,0,0,4,0,3,3,0,33,12,21,2,0,0.41,0,0.41,0.46,0.37,218,1.52,59,82,980,0,0.09,24,192,-1,2
Hamdan Al Hamdan,33,Professional League,2013/2014,Midfielder,Al Fateh,1937,996,941,Saudi Arabia,24,11,10,5,3,2,0,0,0,0,0,4,4,0,28,12,16,2,0,0.23,0,0.23,0.27,0.19,387,1.3,69,81,969,0,0.09,58,191,-1,3
Mubark Al Asmari,31,Professional League,2013/2014,Midfielder,Al Fateh,1779,905,874,Saudi Arabia,23,11,10,0,0,0,0,0,0,0,0,4,4,0,30,12,18,1,0,0,0,0,0,0,0,1.52,59,77,1779,0,0.05,187,190,-1,18
Mohammed Alfehaid,28,Professional League,2013/2014,Midfielder,Al Fateh,1854,861,993,Saudi Arabia,22,9,11,0,0,0,0,0,0,0,0,2,2,0,30,8,22,7,0,0,0,0,0,0,0,1.46,62,84,265,0,0.34,186,189,-1,17
Abdullah Al Dosari,35,Professional League,2013/2014,Midfielder,Al Fateh,840,425,415,Saudi Arabia,13,5,4,0,0,0,0,0,0,0,0,3,3,0,12,4,8,1,0,0,0,0,0,0,0,1.29,70,65,840,0,0.11,184,187,-1,16
Rabeaa Sefiani,31,Professional League,2013/2014,Forward,Al Fateh,489,182,307,Saudi Arabia,14,2,3,0,0,0,0,0,0,0,0,5,5,0,8,3,5,0,0,0,0,0,0,0,0,1.47,61,35,0,0,0,174,180,-1,15
