team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
Al Ahli SC Jeddah,Al Ahli,2018/2019,Saudi Arabia,23,11,12,0,12,5,7,4,3,1,7,3,4,1.74,1.64,1.83,5,9,3,5,46,32,14,78,30,48,20,26,10,22,10,4,45,49,41,65,99,49,6,3,3,15,6,9,3,2,1,12,6,6,124,59,65,47,15,32,55,56,54,299,155,144,141,66,75,158,89,69,132,57,75,18,9,9,12,2,10,6,7,-1,7,5,2,11,4,7,5,2,3,1.39,1.73,1.08,3.39,2.73,4,2,1.82,2.17,1.39,0.91,1.83,1.3,1,1.58,0.78,0.82,0.75,0.52,0.18,0.83,22,21,12,7,6,6,11,10,3,2,2,2,11,11,9,5,4,4,1,2,11,16,17,17,0,1,8,9,9,9,1,1,3,7,8,8,96,91,52,30,26,26,100,91,27,18,18,18,92,92,75,42,33,33,4,9,48,70,74,74,0,9,73,82,82,82,8,8,25,58,67,67,17,9,3,7,3,1,10,6,2,74,39,13,64,27,9,83,50,17,52,45,58,13,26,27,25,65,55,75,13,18,8,52,55,50,13,9,4,57,82,33,10,6,4,43,55,33,6,0,6,26,0,50,30,45,17,48,36,58,22,18,25,5.39,5.36,5.42,2.04,1.36,2.67,78,78,70,56,43,22,17,4,91,5,4,2,3,7,4,3,8,10,4,1,1,2,5,5,6,3,5
Ohod Club,Ohod,2018/2019,Saudi Arabia,23,12,11,0,3,3,0,5,2,3,15,7,8,0.61,0.92,0.27,16,15,16,16,18,48,-30,66,31,35,13,5,18,30,-5,-25,115,83,200,43,60,33,3,2,1,10,6,4,12,5,7,4,3,1,106,59,47,55,31,24,49,48,50,251,134,117,99,47,52,152,87,65,90,47,43,7,7,0,20,7,13,-13,0,-13,3,3,0,10,6,4,10,3,7,0.83,1.25,0.36,2.87,2.58,3.18,0.78,1.08,0.45,2.09,1.5,2.73,1.17,1.17,1.18,0.3,0.58,0,0.87,0.58,1.18,21,16,13,10,4,2,11,7,6,4,2,1,10,9,7,6,2,1,2,7,10,13,19,21,1,5,6,8,10,11,1,2,4,5,9,10,91,70,57,43,17,9,92,58,50,33,17,8,91,82,64,55,18,9,9,30,43,57,83,91,8,42,50,67,83,92,9,18,36,45,82,91,14,10,3,7,5,2,7,5,1,61,43,13,58,42,17,64,45,9,13,25,0,33,13,17,9,43,50,36,52,42,64,17,25,9,11,7,4,48,58,36,18,7,11,78,58,100,3,3,0,13,25,0,13,25,0,43,50,36,43,25,64,4.82,5.36,4.27,2.39,2.58,2.18,73,68,64,45,41,23,9,9,65,1,2,1,0,4,3,2,2,3,2,5,6,4,5,5,5,11,5
Al Fateh SC,Al Fateh,2018/2019,Saudi Arabia,24,14,10,0,8,6,2,9,4,5,7,4,3,1.38,1.57,1.1,8,6,9,8,29,28,1,57,31,26,18,11,13,15,5,-4,74,70,82,77,97,60,10,7,3,11,5,6,8,5,3,12,8,4,108,69,39,53,30,23,45,45,44,236,143,93,104,59,45,132,84,48,96,59,37,14,8,6,11,4,7,3,4,-1,9,6,3,10,6,4,5,2,3,1.54,1.71,1.3,2.38,2.21,2.6,1.21,1.29,1.1,1.17,0.93,1.5,1.04,0.86,1.3,0.58,0.57,0.6,0.46,0.29,0.7,19,17,10,6,4,1,11,10,5,3,2,0,8,7,5,3,2,1,5,7,14,18,20,23,3,4,9,11,12,14,2,3,5,7,8,9,79,71,42,25,17,4,79,71,36,21,14,0,80,70,50,30,20,10,21,29,58,75,83,96,21,29,64,79,86,100,20,30,50,70,80,90,16,7,1,9,3,0,7,4,1,67,29,4,64,21,0,70,40,10,33,43,20,14,42,50,30,46,36,60,33,36,30,50,57,40,17,11,6,71,79,60,12,7,5,50,50,50,3,1,2,13,7,20,38,43,30,42,43,40,21,14,30,4.5,4.93,3.9,2.21,2.14,2.3,88,71,71,57,46,33,25,17,58,2,2,5,2,3,1,4,3,7,1,3,1,5,2,3,5,2,6
Al Ittifaq FC Dammam,Al Ittifaq,2018/2019,Saudi Arabia,24,12,12,0,7,6,1,8,3,5,9,3,6,1.21,1.75,0.67,9,7,13,9,36,42,-6,78,41,37,24,12,17,25,7,-13,60,45,90,51,63,43,6,4,2,17,8,9,4,1,3,12,8,4,95,39,56,71,36,35,47,44,50,273,131,142,140,72,68,133,59,74,137,69,68,18,12,6,15,6,9,3,6,-3,12,8,4,5,2,3,7,2,5,1.71,2.17,1.25,3.25,3.42,3.08,1.5,2,1,1.75,1.42,2.08,1.38,1.5,1.25,0.75,1,0.5,0.63,0.5,0.75,21,19,14,9,8,4,11,9,7,4,4,3,10,10,7,5,4,1,3,5,10,15,16,20,1,3,5,8,8,9,2,2,5,7,8,11,88,79,58,38,33,17,92,75,58,33,33,25,83,83,58,42,33,8,12,21,42,62,67,83,8,25,42,67,67,75,17,17,42,58,67,92,20,9,4,11,4,3,9,5,1,83,38,17,92,33,25,75,42,8,29,50,8,26,25,33,17,71,67,75,17,8,25,50,67,33,12,6,6,50,50,50,11,3,8,46,25,67,5,4,1,21,33,8,50,67,33,21,17,25,29,17,42,3.96,3.25,4.67,2.96,3,2.92,83,71,67,46,46,42,28,17,71,3,3,3,3,7,4,5,3,5,1,3,3,3,8,2,5,6,11
Al Hilal FC Riyadh,Al Hilal,2018/2019,Saudi Arabia,23,12,11,0,17,8,9,5,3,2,1,1,0,2.43,2.25,2.64,1,2,1,1,56,24,32,80,45,35,30,26,15,9,15,17,37,36,38,87,72,110,6,1,5,17,11,6,0,0,0,19,9,10,159,85,74,52,29,23,61,59,63,350,189,161,175,90,85,175,99,76,171,86,85,25,15,10,5,3,2,20,12,8,12,7,5,10,5,5,1,0,1,2,2.17,1.82,3.48,3.75,3.18,2.43,2.5,2.36,1.04,1.25,0.82,1.3,1.5,1.09,1.09,1.25,0.91,0.22,0.25,0.18,23,20,15,12,7,2,12,11,9,7,4,1,11,9,6,5,3,1,0,3,8,11,16,21,0,1,3,5,8,11,0,2,5,6,8,10,100,87,65,52,30,9,100,92,75,58,33,8,100,82,55,45,27,9,0,13,35,48,70,91,0,8,25,42,67,92,0,18,45,55,73,91,16,10,3,9,6,2,7,4,1,70,43,13,75,50,17,64,36,9,74,67,82,-9,26,8,45,74,92,55,0,0,0,83,75,91,18,9,9,78,75,82,8,3,5,35,25,45,4,3,1,17,25,9,52,58,45,43,42,45,4,0,9,6.91,7.08,6.73,2.26,2.42,2.09,87,83,74,61,43,26,17,13,96,2,7,2,5,12,6,7,7,8,1,2,1,0,4,2,4,4,6
Al Shabab FC Riyadh,Al Shabab,2018/2019,Saudi Arabia,24,12,12,0,12,7,5,8,3,5,4,2,2,1.83,2,1.67,3,4,4,3,31,16,15,47,28,19,19,12,9,7,10,5,70,57,90,134,120,155,9,4,5,11,6,5,6,2,4,14,8,6,140,70,70,56,30,26,50,49,50,299,146,153,157,83,74,142,63,79,151,77,74,15,10,5,10,6,4,5,4,1,6,4,2,15,6,9,3,2,1,1.38,1.5,1.25,1.96,2.33,1.58,1.29,1.58,1,0.67,0.75,0.58,1.04,1.33,0.75,0.63,0.83,0.42,0.42,0.5,0.33,22,12,7,5,1,0,12,7,5,3,1,0,10,5,2,2,0,0,2,12,17,19,23,24,0,5,7,9,11,12,2,7,10,10,12,12,92,50,29,21,4,0,100,58,42,25,8,0,83,42,17,17,0,0,8,50,71,79,96,100,0,42,58,75,92,100,17,58,83,83,100,100,14,8,3,9,5,2,5,3,1,58,33,13,75,42,17,42,25,8,50,58,42,5,38,33,42,46,50,42,25,17,33,58,67,50,15,7,8,63,58,67,12,4,8,50,33,67,7,4,3,29,33,25,25,33,17,63,50,75,13,17,8,5.83,5.83,5.83,2.33,2.5,2.17,92,67,50,50,46,33,28,21,29,4,3,4,3,2,3,2,5,5,1,0,2,4,4,0,2,1,2
Al Quadisiya Al Khubar,Al Quadisiya,2018/2019,Saudi Arabia,24,12,12,0,7,4,3,3,2,1,14,6,8,1,1.17,0.83,11,11,12,11,26,36,-10,62,25,37,12,14,13,23,-1,-9,83,90,77,60,83,47,6,3,3,10,4,6,10,6,4,10,6,4,101,40,61,52,25,27,46,44,48,233,99,134,106,48,58,127,51,76,95,37,58,8,3,5,10,4,6,-2,-1,-1,4,2,2,14,8,6,6,2,4,1.08,1.17,1,2.58,2.08,3.08,1.08,1,1.17,1.5,1.08,1.92,0.75,0.58,0.92,0.33,0.25,0.42,0.42,0.33,0.5,22,19,12,6,2,1,11,8,4,2,0,0,11,11,8,4,2,1,2,5,12,18,22,23,1,4,8,10,12,12,1,1,4,8,10,11,92,79,50,25,8,4,92,67,33,17,0,0,92,92,67,33,17,8,8,21,50,75,92,96,8,33,67,83,100,100,8,8,33,67,83,92,13,5,0,5,2,0,8,3,0,54,21,0,42,17,0,67,25,0,29,33,25,11,25,25,25,42,33,50,42,50,33,42,50,33,15,9,6,63,75,50,17,9,8,71,75,67,3,1,2,13,8,17,17,17,17,58,67,50,25,17,33,4.21,3.33,5.08,2.17,2.08,2.25,83,79,71,57,54,25,21,8,54,1,1,2,3,3,4,5,4,3,3,1,1,4,3,4,4,3,13
Al Nassr FC,Al Nassr,2018/2019,Saudi Arabia,24,11,13,0,17,9,8,4,0,4,3,2,1,2.29,2.45,2.15,2,1,2,2,49,21,28,70,34,36,25,24,9,12,16,12,44,40,49,102,110,98,10,5,5,13,5,8,2,1,1,19,9,10,143,77,66,35,14,21,57,59,56,294,139,155,147,71,76,147,68,79,143,71,72,22,10,12,8,3,5,14,7,7,14,5,9,7,5,2,3,1,2,2.04,1.82,2.23,2.92,3.09,2.77,2.04,2.27,1.85,0.88,0.82,0.92,1.25,1.18,1.31,0.92,0.91,0.92,0.33,0.27,0.38,23,19,16,9,2,1,11,8,7,5,2,1,12,11,9,4,0,0,1,5,8,15,22,23,0,3,4,6,9,10,1,2,4,9,13,13,96,79,67,38,8,4,100,73,64,45,18,9,92,85,69,31,0,0,4,21,33,62,92,96,0,27,36,55,82,91,8,15,31,69,100,100,20,8,2,8,4,1,12,4,1,83,33,8,73,36,9,92,31,8,71,82,62,9,42,45,38,54,45,62,8,9,8,79,82,77,18,8,10,75,73,77,6,4,2,25,36,15,4,2,2,17,18,15,58,45,69,29,45,15,13,9,15,6.22,7,5.5,1.46,1.27,1.62,78,65,61,56,48,35,22,22,67,6,4,3,5,6,4,6,7,8,1,3,2,2,1,4,1,4,3
Al Ittihad FC Jeddah,Al Ittihad,2018/2019,Saudi Arabia,24,12,12,0,5,1,4,7,5,2,12,6,6,0.92,0.67,1.17,13,16,8,13,27,36,-9,63,30,33,11,16,19,17,-8,-1,80,98,68,60,57,63,6,3,3,13,7,6,7,4,3,7,2,5,121,72,49,50,23,27,53,55,51,323,178,145,137,72,65,186,106,80,120,64,56,8,1,7,14,7,7,-6,-6,0,3,0,3,12,6,6,9,6,3,0.88,0.5,1.25,2.63,2.5,2.75,1.13,0.92,1.33,1.5,1.58,1.42,0.92,0.67,1.17,0.33,0.08,0.58,0.58,0.58,0.58,22,19,12,6,1,1,10,10,7,3,0,0,12,9,5,3,1,1,2,5,12,18,23,23,2,2,5,9,12,12,0,3,7,9,11,11,92,79,50,25,4,4,83,83,58,25,0,0,100,75,42,25,8,8,8,21,50,75,96,96,17,17,42,75,100,100,0,25,58,75,92,92,16,4,1,7,1,0,9,3,1,67,17,4,58,8,0,75,25,8,21,8,33,-12,25,25,25,54,58,50,29,33,25,29,17,42,11,5,6,46,42,50,17,11,6,71,92,50,4,1,3,17,8,25,13,0,25,50,50,50,38,50,25,5.04,6,4.08,2.08,1.92,2.25,79,63,54,33,21,17,17,8,33,2,1,3,2,1,6,3,2,7,4,3,4,1,3,4,4,6,7
Al Feiha,Al Feiha,2018/2019,Saudi Arabia,23,10,13,0,5,3,2,4,3,1,14,4,10,0.83,1.2,0.54,15,14,15,15,21,41,-20,62,34,28,15,6,19,22,-4,-16,99,60,196,51,47,53,2,1,1,12,8,4,9,1,8,8,6,2,86,36,50,56,20,36,45,45,45,226,103,123,88,39,49,138,64,74,76,35,41,5,5,0,11,8,3,-6,-3,-3,3,3,0,13,3,10,7,4,3,0.96,1.2,0.77,2.7,3.4,2.15,0.91,1.5,0.46,1.78,1.9,1.69,0.7,1.3,0.23,0.22,0.5,0,0.48,0.8,0.23,23,18,12,4,3,2,10,10,7,3,2,2,13,8,5,1,1,0,0,5,11,19,20,21,0,0,3,7,8,8,0,5,8,12,12,13,100,78,52,17,13,9,100,100,70,30,20,20,100,62,38,8,8,0,0,22,48,83,87,91,0,0,30,70,80,80,0,38,62,92,92,100,12,4,0,9,4,0,3,0,0,52,17,0,90,40,0,23,0,0,22,30,15,29,9,10,8,52,80,31,39,10,62,35,60,15,14,4,10,61,40,77,18,5,13,78,50,100,2,2,0,9,20,0,13,30,0,57,30,77,30,40,23,3.74,3.6,3.85,2.43,2,2.77,70,56,48,39,26,9,4,4,52,2,1,0,2,2,5,1,3,5,1,2,5,1,4,6,8,6,8
